Date,Open,High,Low,Close,Adj Close,Volume
2021-03-23,125.620003,125.620003,121.190002,122.129997,121.901939,2751900
2021-03-24,122.430000,123.879997,119.930000,119.959999,119.735992,2162000
2021-03-25,119.059998,120.610001,117.300003,120.029999,119.805862,1479400
2021-03-26,120.019997,123.370003,118.059998,123.139999,122.910057,2360300
2021-03-29,121.769997,123.279999,120.449997,122.230003,122.001755,1792200
2021-03-30,121.250000,121.250000,118.410004,120.300003,120.075363,1594700
2021-03-31,121.510002,125.129997,121.269997,123.900002,123.668640,2718100
2021-04-01,126.080002,130.119995,126.059998,129.850006,129.607529,2707700
2021-04-05,131.979996,131.990005,129.110001,130.729996,130.485870,1885000
2021-04-06,130.360001,132.149994,129.660004,130.399994,130.156494,2587300
2021-04-07,130.169998,132.889999,128.660004,131.679993,131.434097,1782500
2021-04-08,133.500000,133.750000,131.360001,132.770004,132.522079,4239400
2021-04-09,132.100006,132.119995,129.179993,129.720001,129.477768,8862300
2021-04-12,129.529999,129.559998,122.970001,124.230003,123.998024,3529800
2021-04-13,125.239998,127.360001,124.389999,126.209999,125.974319,1514300
2021-04-14,126.720001,127.040001,122.820000,123.610001,123.379173,1209600
2021-04-15,125.510002,131.630005,125.510002,130.100006,129.857071,3731900
2021-04-16,130.490005,130.990005,127.849998,128.639999,128.399780,2179700
2021-04-19,127.989998,130.110001,125.419998,126.900002,126.663033,1836300
2021-04-20,126.300003,126.900002,122.900002,123.620003,123.389160,1946600
2021-04-21,123.290001,127.370003,123.000000,126.949997,126.712936,2552200
2021-04-22,127.050003,127.160004,122.449997,123.080002,122.850166,1739300
2021-04-23,124.580002,130.179993,124.449997,129.660004,129.417877,1779800
2021-04-26,130.000000,134.520004,129.479996,133.960007,133.709854,1486200
2021-04-27,134.190002,136.429993,133.449997,133.610001,133.360504,1898900
2021-04-28,139.000000,139.850006,131.320007,131.520004,131.274414,2312300
2021-04-29,132.330002,134.229996,130.429993,132.470001,132.222626,2005000
2021-04-30,130.520004,132.279999,127.540001,127.959999,127.721054,4901800
2021-05-03,128.320007,128.639999,123.400002,123.550003,123.319290,3766700
2021-05-04,122.110001,123.220001,120.660004,123.059998,122.830200,4140100
2021-05-05,123.639999,124.540001,121.180000,122.029999,121.802124,2478400
2021-05-06,121.809998,122.699997,119.830002,122.139999,121.911919,1558200
