Date,Open,High,Low,Close,Adj Close,Volume
2020-12-07,73.290001,73.400002,71.480003,72.610001,72.508644,17460600
2020-12-08,72.000000,73.550003,71.980003,73.190002,73.087837,15431100
2020-12-09,73.150002,74.610001,70.779999,71.410004,71.310326,18367300
2020-12-10,70.139999,71.949997,69.669998,71.279999,71.180504,15610600
2020-12-11,70.379997,71.320000,69.400002,70.529999,70.431549,15322000
2020-12-14,71.400002,72.199997,71.029999,71.540001,71.440140,13573700
2020-12-15,72.809998,73.370003,72.330002,73.150002,73.047890,11538300
2020-12-16,74.190002,74.349998,72.629997,72.989998,72.888115,13889300
2020-12-17,73.589996,73.739998,71.760002,72.260002,72.159134,11988100
2020-12-18,72.699997,73.449997,71.059998,71.459999,71.360252,23912500
2020-12-21,70.000000,71.699997,69.650002,71.470001,71.370239,13180400
2020-12-22,71.510002,71.779999,69.760002,70.440002,70.341675,11154200
2020-12-23,70.470001,71.059998,69.889999,69.949997,69.852356,8524000
2020-12-24,70.309998,70.639999,69.760002,70.580002,70.481483,4848500
2020-12-28,71.790001,72.110001,70.470001,70.660004,70.561371,8345200
2020-12-29,71.000000,71.400002,69.139999,70.209999,70.111992,9403400
2020-12-30,70.419998,72.650002,70.370003,71.919998,71.819603,11620300
2020-12-31,72.389999,75.680000,72.370003,75.180000,75.075058,23214500
2021-01-04,76.480003,78.610001,73.750000,74.050003,73.946640,31155900
2021-01-05,76.440002,78.690002,76.029999,77.260002,77.152153,33418200
2021-01-06,76.360001,78.449997,76.099998,77.110001,77.002365,22390900
2021-01-07,78.059998,80.080002,78.050003,79.110001,78.999573,27945300
2021-01-08,82.540001,84.160004,77.070000,77.419998,77.311928,51272100
2021-01-11,76.589996,79.790001,76.419998,78.669998,78.560181,19920800
2021-01-12,79.190002,79.620003,77.820000,79.459999,79.349083,18231000
2021-01-13,78.949997,80.389999,78.550003,79.910004,79.798462,15067700
2021-01-14,80.010002,82.209999,79.550003,81.300003,81.186516,17639300
2021-01-15,80.919998,81.879997,79.529999,80.720001,80.607323,14322600
2021-01-19,81.279999,85.680000,80.959999,85.500000,85.380653,26602500
2021-01-20,85.930000,87.250000,83.230003,83.500000,83.383446,21191700
2021-01-21,84.000000,85.099998,82.510002,85.010002,84.891335,14696200
2021-01-22,84.080002,84.949997,82.230003,82.279999,82.165146,14229500
2021-01-25,83.190002,83.500000,78.889999,81.279999,81.166542,19283400
