XLNX,time
203.15,12/17/21 14:30
202.59,12/17/21 14:46
200.14,12/17/21 15:01
200.14,12/17/21 15:15
200.14,12/17/21 15:30
200.14,12/17/21 15:46
195.69,12/20/21 08:30
197.93,12/20/21 08:46
198.85,12/20/21 09:00
197.98,12/20/21 09:16
196.75,12/20/21 09:30
196.56,12/20/21 09:45
195.16,12/20/21 10:00
194.39,12/20/21 10:15
194.46,12/20/21 10:31
194.76,12/20/21 10:45
195.68,12/20/21 11:00
195.15,12/20/21 11:15
194.83,12/20/21 11:31
193.95,12/20/21 11:45
193.54,12/20/21 12:00
194.36,12/20/21 12:15
194.59,12/20/21 12:30
194.91,12/20/21 12:45
195.46,12/20/21 13:01
196.12,12/20/21 13:15
195.54,12/20/21 13:31
195.64,12/20/21 13:46
195.78,12/20/21 14:00
196.21,12/20/21 14:15
196.61,12/20/21 14:30
196.59,12/20/21 14:45
196.15,12/20/21 15:01
196.15,12/20/21 15:16
196.15,12/20/21 15:31
196.15,12/20/21 15:46
199.22,12/21/21 08:30
198.19,12/21/21 08:45
197.1,12/21/21 09:00
197.65,12/21/21 09:16
196.11,12/21/21 09:31
197.01,12/21/21 09:46
197.53,12/21/21 10:01
198.36,12/21/21 10:16
198.62,12/21/21 10:31
199.66,12/21/21 10:45
200.55,12/21/21 11:01
200.45,12/21/21 11:16
201.1,12/21/21 11:30
201.16,12/21/21 11:45
201.99,12/21/21 12:01
203.43,12/21/21 12:15
203.79,12/21/21 12:31
204.12,12/21/21 12:45
204.96,12/21/21 13:00
204.76,12/21/21 13:16
205.04,12/21/21 13:30
205.35,12/21/21 13:46
205.7,12/21/21 14:01
206.06,12/21/21 14:16
205.59,12/21/21 14:31
205.2,12/21/21 14:46
206.43,12/21/21 15:01
206.43,12/21/21 15:15
206.43,12/21/21 15:30
206.43,12/21/21 15:46
209.4,12/22/21 08:31
210.24,12/22/21 08:45
209.0,12/22/21 09:01
208.04,12/22/21 09:15
208.7,12/22/21 09:30
210.14,12/22/21 09:46
211.24,12/22/21 10:00
210.88,12/22/21 10:15
211.77,12/22/21 10:30
213.72,12/22/21 10:45
213.7,12/22/21 11:01
214.0,12/22/21 11:15
213.58,12/22/21 11:30
213.33,12/22/21 11:45
213.9,12/22/21 12:00
213.6,12/22/21 12:15
213.04,12/22/21 12:30
212.46,12/22/21 12:46
212.9,12/22/21 13:01
213.06,12/22/21 13:15
212.66,12/22/21 13:30
213.41,12/22/21 13:45
214.25,12/22/21 14:01
214.26,12/22/21 14:16
214.37,12/22/21 14:31
214.33,12/22/21 14:46
215.0,12/22/21 15:01
215.0,12/22/21 15:15
215.0,12/22/21 15:31
215.0,12/22/21 15:45
216.46,12/23/21 08:31
217.58,12/23/21 08:45
219.2,12/23/21 09:00
220.56,12/23/21 09:15
219.71,12/23/21 09:30
221.29,12/23/21 09:45
220.92,12/23/21 10:00
221.33,12/23/21 10:15
221.91,12/23/21 10:31
220.76,12/23/21 10:45
220.1,12/23/21 11:00
219.8,12/23/21 11:15
219.85,12/23/21 11:31
