Thu Dec 16 09:40:03 EST 2021
Predicting price movement for: 2021-12-16
Loading word weights
['-', 'highs', '0.0', '1', '0']
['-', 'higher', '0.0', '1', '0']
['-', 'heading', '0.0', '1', '0']
['-', 'hyve', '0.0', '2', '0']
['-', 'hires', '0.0', '1', '0']
['-', 'investors', '0.0', '36', '48']
['-', 'inc', '0.0', '203', '168']
['-', 'include', '0.0', '12', '24']
['-', 'investment', '0.0', '13', '24']
['-', 'inflation', '0.0', '36', '0']
['-', 'internet', '0.0', '12', '0']
['-', 'international', '0.0', '24', '0']
['-', 'invesco', '0.0', '12', '0']
['-', 'intel', '0.0', '12', '0']
['-', 'its', '0.0', '12', '24']
['-', 'interactive', '0.0', '12', '0']
['-', 'innovation', '0.0', '1', '0']
['-', 'instruments', '0.0', '1', '0']
['-', 'industry', '0.0', '2', '0']
['-', 'johnson', '0.0', '48', '48']
['-', 'jones', '0.0', '48', '0']
['-', 'job', '0.0', '1', '0']
['-', 'key', '0.0', '3', '0']
['-', 'kendra', '0.0', '1', '0']
['-', 'looms', '0.0', '36', '0']
['-', 'log', '0.0', '12', '0']
['-', 'large', '0.0', '14', '24']
['-', 'life', '0.0', '12', '24']
['-', 'long', '0.0', '1', '0']
['-', 'less', '0.0', '1', '0']
['-', 'like', '0.0', '1', '0']
['-', 'leads', '0.0', '1', '0']
['-', 'loses', '0.0', '2', '0']
['-', 'lobbying', '0.0', '2', '0']
['-', 'metaverse', '0.0', '50', '72']
['-', 'mean', '0.0', '24', '24']
['-', 'meta', '0.0', '72', '96']
['-', 'monday', '0.0', '12', '24']
['-', 'management', '0.0', '36', '24']
['-', 'meeting', '0.0', '48', '0']
['-', 'musk', '0.0', '48', '0']
['-', 'more', '0.0', '48', '0']
['-', 'microsoft', '0.0', '12', '0']
['-', 'machines', '0.0', '24', '0']
['-', 'main', '0.0', '12', '0']
['-', 'market', '0.0', '12', '0']
['-', 'most', '0.0', '12', '24']
['-', 'mic', '0.0', '12', '24']
['-', 'metrics', '0.0', '2', '0']
['-', 'monster', '0.0', '1', '0']
['-', 'micro', '0.0', '3', '0']
['-', 'morgan', '0.0', '1', '0']
['-', 'merger', '0.0', '1', '0']
['-', 'mexico', '0.0', '1', '0']
['-', 'miss', '0.0', '1', '0']
['-', 'morningstar', '0.0', '1', '0']
['-', 'million', '0.0', '1', '0']
['-', 'micron', '0.0', '2', '0']
['-', 'messenger', '0.0', '1', '0']
['-', 'new', '0.0', '25', '24']
['-', 'nintendo', '0.0', '12', '24']
['-', 'nfts', '0.0', '12', '0']
['-', 'national', '0.0', '12', '24']
['-', 'nvidia', '0.0', '17', '24']
['-', 'near', '0.0', '12', '24']
['-', 'now', '0.0', '3', '0']
['-', 'november', '0.0', '2', '0']
['-', 'nasdaq', '0.0', '2', '0']
['-', 'nvme', '0.0', '2', '0']
['-', 'not', '0.0', '1', '0']
['-', 'online', '0.0', '12', '24']
['-', 'off', '0.0', '12', '0']
['-', 'ohio', '0.0', '12', '24']
['-', 'over', '0.0', '1', '0']
['-', 'once', '0.0', '2', '0']
['-', 'platforms', '0.0', '72', '96']
['-', 'plc', '0.0', '12', '24']
['-', 'participate', '0.0', '12', '0']
['-', 'plan', '0.0', '12', '0']
['-', 'point', '0.0', '24', '0']
['-', 'procter', '0.0', '24', '48']
['-', 'portfolio', '0.0', '14', '24']
['-', 'pick', '0.0', '12', '24']
['-', 'peloton', '0.0', '12', '0']
['-', 'paycom', '0.0', '1', '0']
['-', 'president', '0.0', '1', '0']
['-', 'polaris', '0.0', '2', '0']
['-', 'publicly', '0.0', '1', '0']
['-', 'powerful', '0.0', '2', '0']
['-', 'properly', '0.0', '1', '0']
['-', 'pacific', '0.0', '1', '0']
['-', 'popped', '0.0', '2', '0']
['-', 'question', '0.0', '12', '24']
['-', 'quarter', '0.0', '12', '0']
['-', 'qualcomm', '0.0', '40', '72']
['-', 'qcom', '0.0', '13', '24']
['-', 'quitting', '0.0', '2', '0']
['-', 'reasons', '0.0', '24', '48']
['-', 'rules', '0.0', '12', '24']
['-', 'report', '0.0', '48', '0']
['-', 'reverses', '0.0', '12', '0']
['-', 'read', '0.0', '12', '0']
['-', 'rise', '0.0', '12', '0']
['-', 'reality', '0.0', '12', '0']
['-', 'room', '0.0', '12', '24']
['-', 'run', '0.0', '12', '24']
['-', 'roblox', '0.0', '2', '0']
['-', 'right', '0.0', '2', '0']
['-', 'reports', '0.0', '2', '0']
['-', 'rallies', '0.0', '1', '0']
['-', 'rally', '0.0', '1', '0']
['-', 'return', '0.0', '1', '0']
['-', 'rent', '0.0', '1', '0']
['-', 'role', '0.0', '1', '0']
['-', 'rage', '0.0', '1', '0']
['-', 'reach', '0.0', '2', '0']
['-', 'region', '0.0', '1', '0']
['-', 'stock', '0.0', '90', '96']
['-', 'single', '0.0', '12', '24']
['-', 'scam', '0.0', '12', '24']
['-', 'safety', '0.0', '12', '24']
['-', 'synopsys', '0.0', '12', '0']
['-', 'snps', '0.0', '12', '0']
['-', 'shareholders', '0.0', '13', '0']
['-', 'sells', '0.0', '74', '24']
['-', 'shares', '0.0', '37', '0']
['-', 'stocks', '0.0', '26', '0']
['-', 'steve', '0.0', '12', '0']
['-', 'scramble', '0.0', '12', '0']
['-', 'software', '0.0', '13', '0']
['-', 'skids', '0.0', '24', '0']
['-', 'street', '0.0', '12', '0']
['-', 'salesforce', '0.0', '12', '0']
['-', 'storage', '0.0', '12', '24']
['-', 'surged', '0.0', '12', '24']
['-', 'share', '0.0', '12', '24']
['-', 'surprised', '0.0', '12', '24']
['-', 'season', '0.0', '12', '24']
['-', 'ses', '0.0', '12', '24']
['-', 'spectrum', '0.0', '12', '24']
['-', 'still', '0.0', '12', '24']
['-', 'stance', '0.0', '1', '0']
['-', 'stanley', '0.0', '1', '0']
['-', 'super', '0.0', '1', '0']
['-', 'sold', '0.0', '1', '0']
['-', 'synnex', '0.0', '2', '0']
['-', 'snx', '0.0', '2', '0']
['-', 'ssd', '0.0', '2', '0']
['-', 'senior', '0.0', '1', '0']
['-', 'supporting', '0.0', '1', '0']
['-', 'say', '0.0', '1', '0']
['-', 'technologies', '0.0', '60', '72']
['-', 'the', '0.0', '64', '120']
['-', 'that', '0.0', '36', '48']
['-', 'trillion', '0.0', '13', '24']
