MU,time
82.75,12/17/21 14:30
82.96,12/17/21 14:46
83.0,12/17/21 15:01
83.0,12/17/21 15:15
83.0,12/17/21 15:30
83.0,12/17/21 15:46
82.89,12/20/21 08:30
81.93,12/20/21 08:46
82.31,12/20/21 09:00
82.95,12/20/21 09:16
82.72,12/20/21 09:30
82.73,12/20/21 09:45
