Tue Dec 14 20:58:20 EST 2021
Predicting price movement for: 2021-12-14
Loading word weights
['-', 'shareholders', '0.0', '11', '0']
['-', 'sells', '0.0', '66', '22']
['-', 'shares', '0.0', '33', '0']
['-', 'stocks', '0.0', '22', '0']
['-', 'steve', '0.0', '11', '0']
['-', 'scramble', '0.0', '11', '0']
['-', 'software', '0.0', '11', '0']
['-', 'skids', '0.0', '22', '0']
['-', 'street', '0.0', '11', '0']
['-', 'salesforce', '0.0', '11', '0']
['-', 'storage', '0.0', '11', '22']
['-', 'surged', '0.0', '11', '22']
['-', 'share', '0.0', '11', '22']
['-', 'surprised', '0.0', '11', '22']
['-', 'season', '0.0', '11', '22']
['-', 'ses', '0.0', '11', '22']
['-', 'spectrum', '0.0', '11', '22']
['-', 'still', '0.0', '11', '22']
['-', 'technologies', '0.0', '55', '66']
['-', 'the', '0.0', '55', '110']
['-', 'that', '0.0', '33', '44']
['-', 'trillion', '0.0', '11', '22']
['-', 'tighten', '0.0', '11', '22']
['-', 'towers', '0.0', '11', '22']
['-', 'tesla', '0.0', '44', '0']
['-', 'tech', '0.0', '11', '0']
['-', 'threatens', '0.0', '11', '0']
['-', 'third', '0.0', '11', '0']
['-', 'top', '0.0', '11', '22']
['-', 'them', '0.0', '11', '22']
['-', 'this', '0.0', '11', '22']
['-', 'time', '0.0', '11', '22']
['-', 'there', '0.0', '11', '22']
['-', 'turtle', '0.0', '11', '22']
['-', 'uber', '0.0', '11', '22']
['-', 'upgraded', '0.0', '11', '0']
['-', 'uipath', '0.0', '11', '0']
['-', 'vip', '0.0', '22', '22']
['-', 'vulnerability', '0.0', '11', '0']
['-', 'view', '0.0', '11', '0']
['-', 'value', '0.0', '11', '22']
['-', 'what', '0.0', '22', '22']
['-', 'why', '0.0', '33', '44']
['-', 'willis', '0.0', '11', '22']
['-', 'watson', '0.0', '11', '22']
['-', 'wealth', '0.0', '11', '0']
['-', 'watch', '0.0', '11', '0']
['-', 'xanthus', '0.0', '11', '0']
